data_file,algorithm,sample_size,train_test,subject,accuracy,precision,recall,order
amount_1,c5.0,20,testing,1-69,0.97,1,0.9523809523809523,Random
amount_1,c5.0,20,testing,1-70,0.8300000000000001,0.8583333333333333,0.805,Random
amount_1,c5.0,20,testing,1-71,0.92,0.9571428571428571,0.9166666666666666,Random
amount_1,c5.0,20,testing,1-72,0.88,0.858095238095238,0.9257142857142857,Random
amount_1,c5.0,20,testing,1-73,0.89,0.8873809523809523,0.9066666666666666,Random
amount_1,c5.0,20,testing,1-74,0.84,0.8185185185185184,0.7907407407407407,Random
amount_1,c5.0,20,training,1-10,0.9952380952380953,1,0.9916666666666667,Random
amount_1,c5.0,20,training,1-11,0.9809523809523808,0.988235294117647,0.9875,Random
amount_1,c5.0,20,training,1-13,0.9904761904761904,0.9866666666666666,1,Random
amount_1,c5.0,20,training,1-14,0.9904761904761904,0.9875,1,Random
amount_1,c5.0,20,training,1-15,0.9809523809523809,0.967948717948718,1,Random
amount_1,c5.0,20,training,1-16,0.976190476190476,0.9885620915032679,0.9823529411764704,Random
amount_1,c5.0,20,training,1-18,0.9142857142857143,0.9825757575757575,0.8666666666666667,Random
amount_1,c5.0,20,training,1-19,0.9809523809523808,0.9923076923076923,0.9750000000000001,Random
amount_1,c5.0,20,training,1-20,0.9571428571428571,0.9723809523809523,0.9615384615384615,Random
amount_1,c5.0,20,training,1-21,0.8333333333333334,0.8271512113617377,1,Random
amount_1,c5.0,20,training,1-22,0.9904761904761904,0.9928571428571428,0.9923076923076923,Random
amount_1,c5.0,20,training,1-23,0.9952380952380953,1,0.9928571428571429,Random
amount_1,c5.0,20,training,1-24,0.9809523809523809,0.9923076923076923,0.9769230769230769,Random
amount_1,c5.0,20,training,1-25,0.9904761904761904,1,0.9818181818181818,Random
amount_1,c5.0,20,training,1-26,0.9857142857142855,1,0.9769230769230769,Random
amount_1,c5.0,20,training,1-29,0.976190476190476,0.9916666666666667,0.9636363636363636,Random
amount_1,c5.0,20,training,1-30,0.9904761904761905,0.99375,0.99375,Random
amount_1,c5.0,20,training,1-31,0.9857142857142857,1,0.9785714285714286,Random
amount_1,c5.0,20,training,1-32,0.976190476190476,0.9750000000000001,0.9818181818181818,Random
amount_1,c5.0,20,training,1-37,0.985,1,0.975,Random
amount_1,c5.0,20,training,1-38,0.976190476190476,0.98125,0.9866666666666666,Random
amount_1,c5.0,20,training,1-40,0.9619047619047619,0.9699404761904762,0.9875,Random
amount_1,c5.0,20,training,1-41,1,1,1,Random
amount_1,c5.0,20,training,1-42,0.9952380952380953,1,0.9909090909090909,Random
amount_1,c5.0,20,training,1-44,0.9904761904761904,0.9875,1,Random
amount_1,c5.0,20,training,1-45,0.9809523809523809,0.9923076923076923,0.9769230769230769,Random
amount_1,c5.0,20,training,1-46,0.9904761904761904,0.9846153846153846,1,Random
amount_1,c5.0,20,training,1-47,0.9714285714285713,0.9761029411764705,0.9875,Random
amount_1,c5.0,20,training,1-48,0.9904761904761904,1,0.9846153846153846,Random
amount_1,c5.0,20,training,1-50,0.9857142857142857,1,0.98125,Random
amount_1,c5.0,20,training,1-51,0.9904761904761904,1,0.9846153846153846,Random
amount_1,c5.0,20,training,1-52,0.9714285714285713,0.983974358974359,0.9666666666666668,Random
amount_1,c5.0,20,training,1-53,1,1,1,Random
amount_1,c5.0,20,training,1-55,0.9349999999999999,0.9248717948717949,0.9750000000000001,Random
amount_1,c5.0,20,training,1-56,0.9619047619047618,0.981985294117647,0.96875,Random
amount_1,c5.0,20,training,1-58,0.98,1,0.975,Random
amount_1,c5.0,20,training,1-59,0.9857142857142855,0.9857142857142857,0.9923076923076923,Random
amount_1,c5.0,20,training,1-61,0.945,0.9631313131313131,0.93,Random
amount_1,c5.0,20,training,1-62,0.9666666666666663,0.9538461538461538,0.9916666666666667,Random
amount_1,c5.0,20,training,1-64,0.9904761904761904,0.9857142857142857,1,Random
amount_1,c5.0,20,training,1-65,0.9904761904761905,0.9875,1,Random
amount_1,c5.0,20,training,1-66,0.9857142857142855,0.9833333333333334,0.9909090909090909,Random
amount_1,c5.0,20,training,1-67,0.976190476190476,0.9375,1,Random
amount_1,c5.0,20,training,1-68,0.9904761904761904,0.9818181818181818,1,Random
amount_1,c5.0,20,training,1-69,0.976190476190476,1,0.9615384615384615,Random
amount_1,c5.0,20,training,1-70,0.9809523809523808,0.9636363636363636,1,Random
amount_1,c5.0,20,training,1-71,1,1,1,Random
amount_1,c5.0,20,training,1-72,0.9857142857142855,0.9818181818181818,0.99,Random
