subject,session,date,condition,trial_num,ll_side,choice,last_choice
Gal,33,2018-11-15,Low cost different,4,right,0,0
Gal,33,2018-11-15,Low cost different,5,left,1,0
Gal,33,2018-11-15,Low cost different,6,right,0,1
Gal,33,2018-11-15,Low cost different,7,left,1,0
Gal,33,2018-11-15,Low cost different,8,left,1,1
Gal,34,2018-11-16,Low cost different,3,right,0,NA
Gal,34,2018-11-16,Low cost different,4,left,1,0
Gal,34,2018-11-16,Low cost different,5,right,0,1
Gal,34,2018-11-16,Low cost different,6,left,1,0
Gal,34,2018-11-16,Low cost different,7,left,1,1
Gal,34,2018-11-16,Low cost different,8,right,0,1
Paprica,1,2018-07-16,High cost,3,left,0,NA
Paprica,1,2018-07-16,High cost,4,right,1,0
Paprica,1,2018-07-16,High cost,5,right,0,1
Paprica,1,2018-07-16,High cost,6,right,1,0
Paprica,1,2018-07-16,High cost,7,left,1,1
Paprica,1,2018-07-16,High cost,8,left,1,1
Paprica,1,2018-09-06,Low cost same,3,left,0,NA
Paprica,1,2018-09-06,Low cost same,4,left,0,0
Paprica,1,2018-09-06,Low cost same,5,right,0,0
Paprica,1,2018-09-06,Low cost same,6,right,0,0
Paprica,1,2018-09-06,Low cost same,7,left,0,0
Paprica,1,2018-09-06,Low cost same,8,right,0,0
Paprica,1,2018-09-19,Low cost different,3,right,0,NA
Paprica,1,2018-09-19,Low cost different,4,left,0,0
Paprica,1,2018-09-19,Low cost different,5,left,0,0
Paprica,1,2018-09-19,Low cost different,6,left,0,0
Paprica,1,2018-09-19,Low cost different,7,right,1,0
Paprica,1,2018-09-19,Low cost different,8,right,0,1
Paprica,2,2018-07-18,High cost,3,right,1,NA
Paprica,2,2018-07-18,High cost,4,left,1,1
Paprica,2,2018-07-18,High cost,5,right,1,1
Paprica,2,2018-07-18,High cost,6,left,0,1
Paprica,2,2018-07-18,High cost,7,right,0,0
Paprica,2,2018-07-18,High cost,8,left,0,0
Paprica,2,2018-09-07,Low cost same,3,right,0,NA
Paprica,2,2018-09-07,Low cost same,4,right,0,0
Paprica,2,2018-09-07,Low cost same,5,left,0,0
Paprica,2,2018-09-07,Low cost same,6,left,0,0
Paprica,2,2018-09-07,Low cost same,7,left,0,0
Paprica,2,2018-09-07,Low cost same,8,right,0,0
Paprica,2,2018-09-20,Low cost different,3,right,1,NA
Paprica,2,2018-09-20,Low cost different,4,left,0,1
Paprica,2,2018-09-20,Low cost different,5,left,0,0
Paprica,2,2018-09-20,Low cost different,6,right,0,0
Paprica,2,2018-09-20,Low cost different,7,right,1,0
