dataset,subject,age,gender,small,large,type,similarity,response_time,difference,ratio,mean_ratio,log_ratio,relative_diff,disparity,salience,discrim,logistic
1,1-10,27,Male,23,48,Delay,0,NA,25,0.4792,0.6479,-0.7357,0.5208,0.7042,0.3521,0.6523,0
1,1-10,27,Male,15,16,Delay,1,NA,1,0.9375,0.9677,-0.0645,0.0625,0.0645,0.0323,2.7726,0.2689
1,1-10,27,Male,15,18,Delay,1,NA,3,0.8333,0.9091,-0.1823,0.1667,0.1818,0.0909,1.7918,0.0474
1,1-10,27,Male,15,20,Delay,1,NA,5,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.0067
1,1-10,27,Male,15,22,Delay,1,NA,7,0.6818,0.8108,-0.383,0.3182,0.3784,0.1892,1.1451,9e-4
1,1-10,27,Male,82,90,Delay,1,NA,8,0.9111,0.9535,-0.0931,0.0889,0.093,0.0465,2.4204,3e-4
1,1-10,27,Male,15,24,Delay,0,NA,9,0.625,0.7692,-0.47,0.375,0.4615,0.2308,0.9808,1e-4
1,1-10,27,Male,15,26,Delay,0,NA,11,0.5769,0.7317,-0.55,0.4231,0.5366,0.2683,0.8602,0
1,1-10,27,Male,15,28,Delay,0,NA,13,0.5357,0.6977,-0.6242,0.4643,0.6047,0.3023,0.7673,0
1,1-10,27,Male,15,30,Delay,0,NA,15,0.5,0.6667,-0.6931,0.5,0.6667,0.3333,0.6931,0
1,1-10,27,Male,15,32,Delay,0,NA,17,0.4688,0.6383,-0.7577,0.5312,0.7234,0.3617,0.6325,0
1,1-10,27,Male,15,34,Delay,0,NA,19,0.4412,0.6122,-0.8183,0.5588,0.7755,0.3878,0.5819,0
1,1-10,27,Male,26,62,Delay,0,NA,36,0.4194,0.5909,-0.869,0.5806,0.8182,0.4091,0.5436,0
1,1-10,27,Male,62,66,Delay,1,NA,4,0.9394,0.9688,-0.0625,0.0606,0.0625,0.0312,2.8034,0.018
1,1-10,27,Male,15,27,Delay,0,NA,12,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-10,27,Male,17,30,Amount,0,NA,13,0.5667,0.7234,-0.568,0.4333,0.5532,0.2766,0.8362,0
1,1-10,27,Male,82,90,Amount,1,NA,8,0.9111,0.9535,-0.0931,0.0889,0.093,0.0465,2.4204,3e-4
1,1-10,27,Male,26,62,Amount,0,NA,36,0.4194,0.5909,-0.869,0.5806,0.8182,0.4091,0.5436,0
1,1-10,27,Male,62,66,Amount,1,NA,4,0.9394,0.9688,-0.0625,0.0606,0.0625,0.0312,2.8034,0.018
1,1-10,27,Male,15,27,Amount,NA,NA,12,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-10,27,Male,50,90,Amount,0,NA,40,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
