subject_nr,gender,age,race,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
144,Female,17,Other,0.50,0.25,0.5,0.5,0,0,6,2,1,1,2.5606060606060606
145,Male,18,White,0.50,0,1,0,0.17,0.17,5,4,1,1,3.0606060606060606
146,Female,19,White,0.50,0.50,0.5,0.5,0.27,0.27,1,4,1,4,3.4545454545454546
147,Female,21,Asian,1,0,1,0,1,0.25,4,4,2,1,2.646464646464646
148,Female,19,White,0.25,0.25,1,0.17,0,0,4,4,3,5,1.98989898989899
149,Female,18,White,0.50,0,0,0,0,0,2,2,3,1,2.7323232323232323
150,Male,19,Asian,0.50,1,1,1,0,0,2,5,1,5,2.0555555555555554
151,Male,NA,White, 0.17,0,0.17,0,0,0,5,3,3,1,3.121212121212121
152,Female,18,White,0.50,0.25,1,0.17,0.17,0,2,5,1,3,2.227272727272727
153,Female,18,White,1, 0.17,1,0.17,1,0.83,4,4,1,1,2.898989898989899
154,Female,18,White,1,0.50,1,0.6,0,0,3,4,1,3,2.0858585858585856
155,Female,19,White,0.50,0.50,1,1,1,1,3,3,3,3,2.6666666666666665
156,Female,20,White,0,0,0,0,0.17,0.17,4,4,1,1,3.0858585858585856
157,Female,20,White,0.25,0,0.25,0,0.17,0,2,3,1,1,2.419191919191919
158,Female,19,White,NA,0.25,0,0,0,0,4,4,1,1,2.272727272727273
159,Female,19,White,0,0,0,0,0,0,4,4,5,1,2.5
160,Female,20,White,1,0,1,0,1,1,4,2,3,3,2.782828282828283
161,Female,21,White,1,1,1,1,1,1,1,3,3,3,2.116161616161616
162,Female,19,White,0,0,0,0,0.17,0.17,5,1,3,1,2.505050505050505
163,Male,25,"1,2",0,0,0,0,0.17,0.17,4,3,3,3,2.898989898989899
164,Female,20,White,1,1,0,1,0.5,0.5,5,1,5,1,2.727272727272727
165,Female,19,Hispanic,0,1,0,1,0,0,5,6,4,5,3.4141414141414144
166,Female,21,Other,0.50,0.25,1,0,0,0,4,4,3,3,3.484848484848485
167,Female,20,White,0.50,0.50,0.5,0.5,0,0,2,5,1,5,3.2525252525252526
168,Female,18,White,1,1,1,1,1,1,1,1,1,1,2.8434343434343434
169,Female,18,White,0.25,0.25,0,0,1,1,4,3,4,1,1.7171717171717171
170,Female,18,White,1,0.25,2,0.25,1.45,0,5,5,1,1,2.0202020202020203
171,Female,19,White,0.25,0.25,0,0,0.17,0.17,6,5,5,5,2.8383838383838382
172,Female,20,White,1,1,1.17,1.17,1.17,1.17,5,5,1,1,3.04040404040404
173,Male,19,White,1,1,0.17,0.17,0.17,0.17,4,3,1,4,2.8434343434343434
174,Female,19,White,0.25,0.25,0.17,0.17,0.17,0.25,3,4,1,1,2.525252525252525
175,Female,19,White,0.25,0.25,0,0,0,0,3,5,1,1,1.888888888888889
176,Female,19,White,0,0,0,0,0.17,0.17,3,3,4,1,2.803030303030303
177,Female,21,White,0,0,0,0,0,0,4,2,5,1,2.5707070707070705
178,Male,19,White,1,1,1,1,1,1,3,2,1,1,2.8989898989898992
179,Male,19,White,1,0,1,1,0,0,4,3,1,1,2.51010101010101
180,Female,20,Hispanic, 1.17,0.25,1.17,0,1.17,0,3,2,1,3,3.6666666666666665
181,Male,18,White,0.50,0,0.25,0,0.5,0,3,2,5,2,2.5656565656565657
182,Male,18,White,0.25,0,0.17,0,0.17,0.17,5,1,3,1,2.4696969696969697
183,Female,20,White,0,0.50,1,0,0.25,0.5,5,4,3,3,2.994949494949495
184,Male,18,White,0.25,0.25,1,0.17,0.17,1,3,2,1,2,2.7121212121212124
185,Female,18,White,0.50,0.25,0,0.25,0.5,0,2,5,1,1,2.2323232323232323
186,Male,20,White,0.25,0,0,0,0,0,7,4,4,1,3.212121212121212
187,Female,NA,White,1,0,1,0,1,0,4,4,4,1,2.6818181818181817
188,Male,18,White,0.50,0.50,0.5,0.5,0.5,0.5,2,2,3,1,3.0555555555555554
189,Female,18,White,0.25,0,0,0,0.17,0.17,2,2,1,1,2.903030303030303
190,Female,18,White,1,0.25,1,0.5,1,0.5,5,5,3,3,2.388888888888889
191,Female,18,Hispanic,0,0.25,0,0,0,0,2,2,3,1,3.1010101010101008
192,Female,21,White,0.50,0,0,0.5,0,0,5,3,3,1,2.6242424242424245
193,Female,20,White,1,1,1,1,1.17,1.17,4,1,3,1,2.4797979797979797
194,Female,21,White,1,1,1,1,1,1,4,3,3,1,2.0757575757575757
195,Female,18,White,0.25,0,0.17,0.17,0.32,0.17,3,3,2,1,2.3636363636363638
196,Female,18,White,0.50,0,1,0,1,1,3,2,1,1,2.494949494949495
197,Male,20,White,1,0.50,1,0.5,1.17,0.17,4,5,1,5,2.8989898989898992
198,Female,20,American Indian/Alaskan Native,0,0,0,0,0.35,0,4,3,3,1,2.2222222222222223
199,Female,18,White,0,0,0,0,0,0,4,4,3,1,2.9393939393939394
200,Female,19,White,1,0.50,1,0.5,1,0.5,4,4,1,1,2.9242424242424243
201,Male,20,White,0.25,0,0.25,0,0.17,0,5,5,1,1,3.2373737373737375
202,Female,21,White,1,1,1,1,1,1,3,3,1,1,2.494949494949495
203,Male,18,Hispanic,0.50, 0.10,0.5,0.1,0.5,0.1,3,2,1,1,3.707070707070707
204,Female,21,White,0.25,0.25,0,0,0.17,0.17,3,3,1,1,2.2323232323232323
205,Female,21,White,0,0,0,0,0.25,0,5,2,5,1,2.702020202020202
206,Female,18,White,1,0.50,0,1,1,0,4,3,1,3,3.4949494949494953
207,Male,19,White,1,0.50,0.5,0.5,0.5,0.25,2,2,2,3,2.2676767676767677
208,Female,19,White,1,1,1,1,1,1,3,3,3,3,1.878787878787879
209,Female,18,White,0,0,0,0,0,0,4,4,1,1,2.409090909090909
210,Male,19,White,0,0.25,0,0,0,0,4,3,3,1,2.3737373737373737
211,Female,20,White,0.25,0.25,0,0,0,0,3,3,1,1,2.772727272727273
212,Male,18,White,0.25,0.25,0.17,0,1.17,0.25,2,3,1,1,3.742424242424242
213,Male,20,White,0.50,0,0,0,0,0,5,NA,3,NA,3.1262626262626263
214,Female,19,White,0.25,0,0,0,0.17,0.17,4,2,1,1,1.7373737373737375
215,Female,19,White,1,1,1,0,1,1,2,4,1,1,2.8838383838383836
216,Female,19,White,0.25,0.25,0.17,0.17,0.17,0.17,4,4,1,1,1.6515151515151516
217,Male,21,"1,5",0.25,0,0,0,0.17,0,3,4,1,1,3.4393939393939394
218,Male,18,White,0,0,0,0,0,0,4,4,1,1,3.4393939393939394
219,Female,18,American Indian/Alaskan Native,NA,NA,0,0,0,0,4,4,1,1,2.95959595959596
220,Female,24,White,0.50,0.25,1,0.5,0.5,0,3,3,5,5,4.378787878787879
221,Male,21,Asian,1,1,1,1,1,0,4,4,1,1,3.0656565656565657
222,Female,19,White,0.50,0,0,0,0,0,4,3,3,1,3.186868686868687
223,Female,18,White,0,0,0,0,0.17,0.17,4,4,5,5,2.7373737373737375
224,Female,20,White,0,0,0.75,1,1,0,5,3,1,1,3.1363636363636362
225,Female,19,White,0.50,0.50,1,0,1,1,1,4,3,2,1.904040404040404
226,Female,19,White,0,0.25,0,0,1.5,1,5,4,1,1,2.7373737373737375
227,Male,19,Black/African American,0.50,0.50,0.5,0.5,1,1,2,2,1,1,2.287878787878788
228,Female,20,White,1,0.50,0.5,0.25,1,0.5,5,2,1,1,2.121212121212121
229,Male,18,White,1,1,1,0.5,1,1,4,4,4,5,2.893939393939394
230,Female,18,Asian,1,0,1,0,0,0,3,2,3,1,1.98989898989899
231,Male,18,White,1,1,1.17,1.17,0.17,1.17,4,4,1,1,3.9242424242424243
232,Female,18,White,1,1,0,0,0,0,4,3,3,1,3.272727272727273
233,Male,19,White,1,1,1,1,1,0,2,2,3,1,2.8282828282828283
234,Female,18,White,0.50,1,1,0.5,1,1,3,4,3,3,2.383838383838384
235,Female,18,White,0.50,0.50,1,0.5,0.5,0.5,1,1,1,1,2.6414141414141414
236,Female,22,Hispanic,1,0.50,1,0.5,1,1,5,4,4,1,3.282828282828283
