datatype,participant,condition,time,diff,mean
Choice,22,exercise,NA,prepost30,0
Choice,22,rest,NA,prepost,0
Choice,22,rest,NA,prepost30,0.25
Choice,23,exercise,NA,prepost,0
Choice,23,exercise,NA,prepost30,0.25
Choice,23,rest,NA,prepost,-0.25
Choice,23,rest,NA,prepost30,0
Choice,24,exercise,NA,prepost,0.75
Choice,24,exercise,NA,prepost30,0.75
Choice,24,rest,NA,prepost,0
Choice,24,rest,NA,prepost30,0
Choice,25,exercise,NA,prepost,0.5
Choice,25,exercise,NA,prepost30,0.75
Choice,25,rest,NA,prepost,0
Choice,25,rest,NA,prepost30,0
Choice,28,exercise,NA,prepost,0.25
Choice,28,exercise,NA,prepost30,0.25
Choice,28,rest,NA,prepost,0
Choice,28,rest,NA,prepost30,0
Choice,29,exercise,NA,prepost,0.25
Choice,29,exercise,NA,prepost30,0
Choice,29,rest,NA,prepost,0
Choice,29,rest,NA,prepost30,0
Choice,30,exercise,NA,prepost,0.5
Choice,30,exercise,NA,prepost30,0.25
Choice,30,rest,NA,prepost,0.25
Choice,30,rest,NA,prepost30,0
Choice,31,exercise,NA,prepost,0.25
Choice,31,exercise,NA,prepost30,0.5
Choice,31,rest,NA,prepost,-0.75
Choice,31,rest,NA,prepost30,-0.75
Choice,32,exercise,NA,prepost,0.25
Choice,32,exercise,NA,prepost30,0
Choice,32,rest,NA,prepost,0.25
Choice,32,rest,NA,prepost30,0.25
Choice,33,exercise,NA,prepost,0
Choice,33,exercise,NA,prepost30,0.25
Choice,33,rest,NA,prepost,0
Choice,33,rest,NA,prepost30,0
Choice,34,exercise,NA,prepost,0
Choice,34,exercise,NA,prepost30,0
Choice,34,rest,NA,prepost,-0.25
Choice,34,rest,NA,prepost30,0.25
Choice,36,exercise,NA,prepost,0.5
Choice,36,exercise,NA,prepost30,0.5
Choice,36,rest,NA,prepost,0.5
Choice,36,rest,NA,prepost30,0.5
Choice,37,exercise,NA,prepost,0
Choice,37,exercise,NA,prepost30,0.25
Choice,37,rest,NA,prepost,-0.25
Choice,37,rest,NA,prepost30,-0.25
Choice,38,exercise,NA,prepost,-0.25
Choice,38,exercise,NA,prepost30,0
Choice,38,rest,NA,prepost,-0.25
Choice,38,rest,NA,prepost30,-0.25
Choice,39,exercise,NA,prepost,0.5
Choice,39,exercise,NA,prepost30,0.5
Choice,39,rest,NA,prepost,0.25
Choice,39,rest,NA,prepost30,0.25
Choice,41,exercise,NA,prepost,0
Choice,41,exercise,NA,prepost30,0.75
Choice,41,rest,NA,prepost,0.25
Choice,41,rest,NA,prepost30,0
Choice,42,exercise,NA,prepost,0.5
Choice,42,exercise,NA,prepost30,0
Choice,42,rest,NA,prepost,-0.25
Choice,42,rest,NA,prepost30,-0.5
Choice,44,exercise,NA,prepost,0.5
Choice,44,exercise,NA,prepost30,0.25
Choice,44,rest,NA,prepost,-0.25
Choice,44,rest,NA,prepost30,0
Choice,45,exercise,NA,prepost,0.25
Choice,45,exercise,NA,prepost30,0.25
Choice,45,rest,NA,prepost,0.25
Choice,45,rest,NA,prepost30,0.25
Choice,46,exercise,NA,prepost,0.75
Choice,46,exercise,NA,prepost30,0.75
Choice,46,rest,NA,prepost,0
Choice,46,rest,NA,prepost30,-0.25
Choice,3007,exercise,NA,prepost,0.75
Choice,3007,exercise,NA,prepost30,0.75
Choice,3007,rest,NA,prepost,0.25
Choice,3007,rest,NA,prepost30,0.25
Choice,3008,exercise,NA,prepost,0
Choice,3008,exercise,NA,prepost30,0.25
Choice,3008,rest,NA,prepost,-0.25
Choice,3008,rest,NA,prepost30,-0.5
Choice,3009,exercise,NA,prepost,1
Choice,3009,exercise,NA,prepost30,1
Choice,3009,rest,NA,prepost,0
Choice,3009,rest,NA,prepost30,0
Choice,3010,exercise,NA,prepost,0
Choice,3010,exercise,NA,prepost30,0
Choice,3010,rest,NA,prepost,0
Choice,3010,rest,NA,prepost30,0
Choice,3011,exercise,NA,prepost,0
Choice,3011,exercise,NA,prepost30,0
Choice,3011,rest,NA,prepost,0
Choice,3011,rest,NA,prepost30,0
Choice,3012,exercise,NA,prepost,-0.25
Choice,3012,exercise,NA,prepost30,-0.25
Choice,3012,rest,NA,prepost,0.25
Choice,3012,rest,NA,prepost30,0.25
Choice,3013,exercise,NA,prepost,0
Choice,3013,exercise,NA,prepost30,0
Choice,3013,rest,NA,prepost,0.5
Choice,3013,rest,NA,prepost30,1
Choice,3015,exercise,NA,prepost,0.25
Choice,3015,exercise,NA,prepost30,0.25
Choice,3015,rest,NA,prepost,0.25
Choice,3015,rest,NA,prepost30,0
Choice,3017,exercise,NA,prepost,-0.25
Choice,3017,exercise,NA,prepost30,0.25
Choice,3017,rest,NA,prepost,0.5
Choice,3017,rest,NA,prepost30,1
Choice,3018,exercise,NA,prepost,0.5
Choice,3018,exercise,NA,prepost30,0.75
Choice,3018,rest,NA,prepost,0
Choice,3018,rest,NA,prepost30,0
Choice,3019,exercise,NA,prepost,0.5
Choice,3019,exercise,NA,prepost30,0.25
Choice,3019,rest,NA,prepost,-0.25
Choice,3019,rest,NA,prepost30,-0.5
Choice,3021,exercise,NA,prepost,0.25
Choice,3021,exercise,NA,prepost30,0.25
Choice,3021,rest,NA,prepost,0
Choice,3021,rest,NA,prepost30,0
Choice,3024,exercise,NA,prepost,0.75
Choice,3024,exercise,NA,prepost30,0.75
Choice,3024,rest,NA,prepost,0.25
Choice,3024,rest,NA,prepost30,0.5
