data_file,algorithm,subject,predictor,importance
amount_1,knn,1-15,discrim,93.69024856596558
amount_1,knn,1-15,logistic,100
amount_1,rf,1-15,small,0
amount_1,rf,1-15,large,34.33178932700873
amount_1,rf,1-15,difference,100
amount_1,rf,1-15,ratio,59.643006511921605
amount_1,rf,1-15,log_ratio,63.891480473929604
amount_1,rf,1-15,discrim,63.6196044894501
amount_1,rf,1-15,logistic,96.49680166595884
amount_1,glm,1-15,small,2.222929142772412
amount_1,glm,1-15,large,41.73758487924119
amount_1,glm,1-15,ratio,96.47780644927674
amount_1,glm,1-15,log_ratio,100
amount_1,glm,1-15,discrim,69.42640440707618
amount_1,glm,1-15,logistic,0
amount_1,nnet,1-15,small,15.274829615462362
amount_1,nnet,1-15,large,8.183988553008131
amount_1,nnet,1-15,difference,33.144709686453425
amount_1,nnet,1-15,ratio,61.426581195933004
amount_1,nnet,1-15,log_ratio,12.610090062308835
amount_1,nnet,1-15,discrim,100
amount_1,nnet,1-15,logistic,0
amount_1,rpart,1-16,difference,99.99999999999999
amount_1,rpart,1-16,discrim,70.52634836652226
amount_1,rpart,1-16,log_ratio,70.52634836652226
amount_1,rpart,1-16,logistic,100
amount_1,rpart,1-16,ratio,70.52634836652226
amount_1,rpart,1-16,small,0
amount_1,rpart,1-16,large,0
amount_1,c5.0,1-16,logistic,100
amount_1,c5.0,1-16,small,0
amount_1,c5.0,1-16,large,0
amount_1,c5.0,1-16,difference,0
amount_1,c5.0,1-16,ratio,0
amount_1,c5.0,1-16,log_ratio,0
amount_1,c5.0,1-16,discrim,0
amount_1,naive_bayes,1-16,small,0
amount_1,naive_bayes,1-16,large,47.05882352941176
amount_1,naive_bayes,1-16,difference,100
amount_1,naive_bayes,1-16,ratio,87.58169934640524
amount_1,naive_bayes,1-16,log_ratio,87.58169934640524
amount_1,naive_bayes,1-16,discrim,87.58169934640524
amount_1,naive_bayes,1-16,logistic,100
amount_1,knn,1-16,small,0
amount_1,knn,1-16,large,47.05882352941176
amount_1,knn,1-16,difference,100
amount_1,knn,1-16,ratio,87.58169934640524
amount_1,knn,1-16,log_ratio,87.58169934640524
amount_1,knn,1-16,discrim,87.58169934640524
amount_1,knn,1-16,logistic,100
amount_1,rf,1-16,small,0
amount_1,rf,1-16,large,5.574353563373408
amount_1,rf,1-16,difference,94.78716089922483
amount_1,rf,1-16,ratio,47.141136783229626
amount_1,rf,1-16,log_ratio,45.98146280144607
amount_1,rf,1-16,discrim,50.30970134682728
amount_1,rf,1-16,logistic,100
amount_1,glm,1-16,small,29.18038507127625
amount_1,glm,1-16,large,42.25540197001112
amount_1,glm,1-16,ratio,1.1997650902220665
amount_1,glm,1-16,log_ratio,14.757213121001685
amount_1,glm,1-16,discrim,0
amount_1,glm,1-16,logistic,100
amount_1,nnet,1-16,small,33.54814411566945
amount_1,nnet,1-16,large,73.51689935815014
amount_1,nnet,1-16,difference,100
amount_1,nnet,1-16,ratio,21.580263452707076
amount_1,nnet,1-16,log_ratio,0
amount_1,nnet,1-16,discrim,32.28551225710811
amount_1,nnet,1-16,logistic,13.286517308800363
amount_1,rpart,1-18,difference,100
amount_1,rpart,1-18,discrim,57.25452957875419
amount_1,rpart,1-18,log_ratio,57.25452957875419
amount_1,rpart,1-18,logistic,100
amount_1,rpart,1-18,ratio,57.25452957875419
amount_1,rpart,1-18,small,0
amount_1,rpart,1-18,large,0
amount_1,c5.0,1-18,small,100
amount_1,c5.0,1-18,large,100
amount_1,c5.0,1-18,ratio,100
amount_1,c5.0,1-18,discrim,100
amount_1,c5.0,1-18,logistic,100
amount_1,c5.0,1-18,difference,97.29837107667858
amount_1,c5.0,1-18,log_ratio,0
amount_1,naive_bayes,1-18,small,0
amount_1,naive_bayes,1-18,large,49.71428571428572
amount_1,naive_bayes,1-18,difference,100
amount_1,naive_bayes,1-18,ratio,63.14285714285715
amount_1,naive_bayes,1-18,log_ratio,63.14285714285715
amount_1,naive_bayes,1-18,discrim,63.14285714285715
amount_1,naive_bayes,1-18,logistic,100
amount_1,knn,1-18,small,0
amount_1,knn,1-18,large,49.71428571428572
amount_1,knn,1-18,difference,100
amount_1,knn,1-18,ratio,63.14285714285715
amount_1,knn,1-18,log_ratio,63.14285714285715
amount_1,knn,1-18,discrim,63.14285714285715
amount_1,knn,1-18,logistic,100
amount_1,rf,1-18,small,0
amount_1,rf,1-18,large,61.73576723349444
amount_1,rf,1-18,difference,100
amount_1,rf,1-18,ratio,30.68877833015888
amount_1,rf,1-18,log_ratio,15.814901487396787
amount_1,rf,1-18,discrim,20.076806918407154
amount_1,rf,1-18,logistic,77.13741823459507
amount_1,glm,1-18,small,100
amount_1,glm,1-18,large,98.7102128751375
amount_1,glm,1-18,ratio,0.8219481377072895
amount_1,glm,1-18,log_ratio,0
amount_1,glm,1-18,discrim,39.92721172582274
amount_1,glm,1-18,logistic,58.66414547940699
amount_1,nnet,1-18,small,7.709354635756053
amount_1,nnet,1-18,large,0
amount_1,nnet,1-18,difference,20.7908282349962
amount_1,nnet,1-18,ratio,25.726497148356657
amount_1,nnet,1-18,log_ratio,100
amount_1,nnet,1-18,discrim,71.33189795925765
amount_1,nnet,1-18,logistic,8.967500376788701
amount_1,rpart,1-19,difference,100
amount_1,rpart,1-19,discrim,90.23957924331563
amount_1,rpart,1-19,log_ratio,90.23957924331563
amount_1,rpart,1-19,logistic,100
amount_1,rpart,1-19,ratio,90.23957924331563
amount_1,rpart,1-19,small,0
amount_1,rpart,1-19,large,0
amount_1,c5.0,1-19,ratio,100
amount_1,c5.0,1-19,logistic,100
amount_1,c5.0,1-19,log_ratio,75
amount_1,c5.0,1-19,small,60.42000000000001
amount_1,c5.0,1-19,large,0
amount_1,c5.0,1-19,difference,0
amount_1,c5.0,1-19,discrim,0
amount_1,naive_bayes,1-19,small,0
amount_1,naive_bayes,1-19,large,46.2121212121212
amount_1,naive_bayes,1-19,difference,100
amount_1,naive_bayes,1-19,ratio,93.75
amount_1,naive_bayes,1-19,log_ratio,93.75
amount_1,naive_bayes,1-19,discrim,93.75
amount_1,naive_bayes,1-19,logistic,100
amount_1,knn,1-19,small,0
amount_1,knn,1-19,large,46.2121212121212
amount_1,knn,1-19,difference,100
amount_1,knn,1-19,ratio,93.75
amount_1,knn,1-19,log_ratio,93.75
amount_1,knn,1-19,discrim,93.75
amount_1,knn,1-19,logistic,100
amount_1,rf,1-19,small,0
amount_1,rf,1-19,large,23.243541437166936
amount_1,rf,1-19,difference,98.20186557954733
amount_1,rf,1-19,ratio,60.34803939399512
amount_1,rf,1-19,log_ratio,58.38605945132757
amount_1,rf,1-19,discrim,70.10297176245079
amount_1,rf,1-19,logistic,100
